Seed,Fine,Salary,Score
10001,3380916,1678726,5059642
10002,3144555,4120300,7264855
10003,1309112,4103007,5412119
10004,4909541,4164524,9074065
10005,255216,795492,1050708
10006,884580,763370,1647950
10007,4669112,5839414,10508526
10008,287448,1237758,1525206
10009,2064270,1185213,3249483
10010,1475531,3085984,4561515
10011,250128,746064,996192
10012,1175634,1934548,3110182
10013,1589438,5162948,6752386
10014,926100,2841608,3767708
10015,1031664,3056266,4087930
10016,7006434,4171424,11177858
10017,1004025,1639800,2643825
10018,10321550,7003780,17325330
10019,1683656,1820448,3504104
10020,1029721,1646616,2676337
10021,1208440,872802,2081242
10022,2339612,1582532,3922144
10023,237744,1717408,1955152
10024,3302988,1766016,5069004
10025,721280,1941975,2663255
10026,2105052,3028520,5133572
10027,980856,3148642,4129498
10028,6156836,5319048,11475884
10029,3132640,3988926,7121566
10030,5332768,6286530,11619298
10031,2171051,4182048,6353099
10032,2992668,2605878,5598546
10033,3151131,5538737,8689868
10034,2466540,4518270,6984810
10035,6370273,4884516,11254789
10036,865536,879354,1744890
10037,2576970,2473192,5050162
10038,1568117,5254284,6822401
10039,350702,1263780,1614482
10040,1149834,3008369,4158203
10041,1488483,1445240,2933723
10042,1761928,925675,2687603
10043,175956,1657693,1833649
10044,354920,346291,701211
10045,2131428,2548140,4679568
10046,4491900,2905632,7397532
10047,773113,999180,1772293
10048,1696548,2594816,4291364
10049,1491200,1058420,2549620
10050,450436,3060900,3511336
10051,679300,3957855,4637155
10052,2175348,2945682,5121030
10053,1036710,1084857,2121567
10054,1346450,2479140,3825590
10055,1812569,1903458,3716027
10056,1266510,4449864,5716374
10057,864158,631695,1495853
10058,1758780,3479618,5238398
10059,1869257,3022544,4891801
10060,1411870,1807208,3219078
10061,989460,4535429,5524889
10062,1282480,1035690,2318170
10063,1457878,3008538,4466416
10064,1935258,2939698,4874956
10065,2601470,1701564,4303034
10066,4419540,2654900,7074440
10067,1203432,1642341,2845773
10068,3583706,4629236,8212942
10069,919435,2648300,3567735
10070,1175840,1652928,2828768
10071,371590,1411895,1783485
10072,2981620,1387485,4369105
10073,3662926,3293431,6956357
10074,2843616,879710,3723326
10075,2437955,3851751,6289706
10076,1691019,2949660,4640679
10077,2013198,1853824,3867022
10078,2512911,3886344,6399255
10079,1145340,3164043,4309383
10080,1617470,3903822,5521292
10081,2519120,3159951,5679071
10082,1677852,1275696,2953548
10083,654808,1604778,2259586
10084,3984100,2788399,6772499
10085,1164339,2946794,4111133
10086,194628,609536,804164
10087,2028936,1615856,3644792
10088,2333284,3533400,5866684
10089,3707649,1695792,5403441
10090,6046408,2804544,8850952
10091,888734,592020,1480754
10092,805794,1255570,2061364
10093,2491765,6343297,8835062
10094,1055500,2838400,3893900
10095,1192160,518208,1710368
10096,5826887,3615764,9442651
10097,2463274,2710976,5174250
10098,661095,3579384,4240479
10099,5514096,4541200,10055296
10100,349255,517556,866811
10101,1876692,4458216,6334908
10102,391935,1348920,1740855
10103,129646,946491,1076137
10104,1029240,685035,1714275
10105,648522,2470622,3119144
10106,902625,3097380,4000005
10107,818208,2593917,3412125
10108,2770200,843139,3613339
10109,320985,802971,1123956
10110,4188522,4825020,9013542
10111,304704,379040,683744
10112,1665559,1397898,3063457
10113,864640,647364,1512004
10114,2524236,4699584,7223820
10115,2189482,2190776,4380258
10116,1980453,650969,2631422
10117,637532,933552,1571084
10118,1075846,751270,1827116
10119,244683,1417575,1662258
10120,1213707,2408514,3622221
10121,737064,4593498,5330562
10122,3703525,5686262,9389787
10123,362448,2178215,2540663
10124,3617532,2516442,6133974
10125,1402856,1184479,2587335
10126,886312,1680225,2566537
10127,2075040,1381798,3456838
10128,2456800,3000465,5457265
10129,204629,976675,1181304
10130,2567687,4694700,7262387
10131,3280745,2598323,5879068
10132,298710,569700,868410
10133,1355640,2636249,3991889
10134,2684200,2213440,4897640
10135,3609300,2052180,5661480
10136,532872,3169110,3701982
10137,1748896,2946419,4695315
10138,537936,1568168,2106104
10139,1754852,1659164,3414016
10140,2228982,1004394,3233376
10141,2536842,933555,3470397
10142,2132400,1308840,3441240
10143,2083715,1482530,3566245
10144,5066688,4432750,9499438
10145,2419417,4275810,6695227
10146,2029600,1569575,3599175
10147,3274608,1763604,5038212
10148,1956449,3125976,5082425
10149,2896867,1399540,4296407
10150,5045456,3181840,8227296
10151,195160,1401822,1596982
10152,2137444,4065216,6202660
10153,1831728,3276001,5107729
10154,2488506,2958120,5446626
10155,2932336,1603932,4536268
10156,3103464,2043229,5146693
10157,3954344,2391606,6345950
10158,1470998,3114100,4585098
10159,583823,1686564,2270387
10160,1072352,2780085,3852437
10161,2288903,1670594,3959497
10162,1853940,2478933,4332873
10163,565290,1940274,2505564
10164,4627488,5654259,10281747
10165,1815828,2030976,3846804
10166,1250807,2641324,3892131
10167,2590345,1111360,3701705
10168,541443,2850174,3391617
10169,2741616,4441775,7183391
10170,986631,2891133,3877764
10171,6134375,3903180,10037555
10172,2584902,3789378,6374280
10173,3844809,4356825,8201634
10174,1129485,3195665,4325150
10175,5145048,1305248,6450296
10176,2023408,4838574,6861982
10177,3761175,3396699,7157874
10178,3435117,5650824,9085941
10179,933452,3578484,4511936
10180,4387238,1539738,5926976
10181,3707156,3717428,7424584
10182,2804565,5987826,8792391
10183,1257945,3347729,4605674
10184,2014708,3500442,5515150
10185,3567696,3029670,6597366
10186,7472160,4711965,12184125
10187,4358816,5101668,9460484
10188,4829360,4930400,9759760
10189,804460,1675860,2480320
10190,1084721,4822732,5907453
10191,2556888,7414011,9970899
10192,3609018,5102550,8711568
10193,2965721,3692869,6658590
10194,611976,2719446,3331422
10195,1833560,3593451,5427011
10196,2462628,5580252,8042880
10197,499875,1645002,2144877
10198,2079356,3832976,5912332
10199,2966755,3326004,6292759
10200,2393776,4694976,7088752
