Seed,Fine,Salary,Score
10001,2996028,1931141,4927169
10002,3588273,3695450,7283723
10003,2243248,2222328,4465576
10004,4951219,4525536,9476755
10005,508128,505324,1013452
10006,855144,750140,1605284
10007,5438314,5203088,10641402
10008,580692,578143,1158835
10009,1728204,1367718,3095922
10010,2159223,2119920,4279143
10011,409752,444672,854424
10012,1515887,1449987,2965874
10013,2724534,2745924,5470458
10014,1621836,1611512,3233348
10015,1409904,2081578,3491482
10016,5857884,5854414,11712298
10017,1303350,1240020,2543370
10018,9677675,8079788,17757463
10019,1669564,1763400,3432964
10020,1252097,1174029,2426126
10021,1081960,1054368,2136328
10022,2832500,1346618,4179118
10023,511056,510340,1021396
10024,2692288,2635335,5327623
10025,1252118,1247400,2499518
10026,2638284,2780536,5418820
10027,1784628,1783560,3568188
10028,6413146,5778444,12191590
10029,3208320,3804732,7013052
10030,5777002,5574790,11351792
10031,2749636,3185568,5935204
10032,2752092,2730267,5482359
10033,4277508,4174634,8452142
10034,3033660,3474450,6508110
10035,5490667,5518688,11009355
10036,579072,1309014,1888086
10037,2600530,2469429,5069959
10038,2717151,2658516,5375667
10039,626516,631395,1257911
10040,1444212,2303483,3747695
10041,1482219,1418640,2900859
10042,1525832,1180700,2706532
10043,517956,518107,1036063
10044,350132,355531,705663
10045,2481102,2330220,4811322
10046,4361760,3200220,7561980
10047,907582,860615,1768197
10048,1645224,2586808,4232032
10049,1387840,1167620,2555460
10050,1220478,1255230,2475708
10051,1514040,1510268,3024308
10052,2659860,2630691,5290551
10053,1061730,1068851,2130581
10054,1786365,1771680,3558045
10055,1985630,1944042,3929672
10056,2347870,2322768,4670638
10057,763344,705825,1469169
10058,2477700,2477109,4954809
10059,2465385,2452968,4918353
10060,1292159,1946958,3239117
10061,1757269,1751335,3508604
10062,1175944,1155810,2331754
10063,2095438,2118008,4213446
10064,2166426,2519726,4686152
10065,2399084,2049150,4448234
10066,3736800,3699700,7436500
10067,1389818,1247958,2637776
10068,3842308,4481948,8324256
10069,1544345,1547900,3092245
10070,1362944,1501984,2864928
10071,557810,856995,1414805
10072,2457278,1783170,4240448
10073,3625778,3483110,7108888
10074,2097448,1332050,3429498
10075,3231280,3164973,6396253
10076,2250255,2174340,4424595
10077,2126844,1844512,3971356
10078,2932293,3484481,6416774
10079,1750220,1754703,3504923
10080,2463692,2415819,4879511
10081,2742640,2782614,5525254
10082,1520288,1435185,2955473
10083,987096,985644,1972740
10084,3832500,2920559,6753059
10085,1364814,2207248,3572062
10086,328152,341936,670088
10087,2044406,1578032,3622438
10088,2948276,2955960,5904236
10089,2803977,2427696,5231673
10090,5436812,3332544,8769356
10091,800690,645696,1446386
10092,987740,990517,1978257
10093,4135749,4117140,8252889
10094,1698400,1687552,3385952
10095,946480,720396,1666876
10096,5205796,4648888,9854684
10097,2679114,2573120,5252234
10098,1487370,1476468,2963838
10099,4456536,6158080,10614616
10100,402293,428779,831072
10101,2895276,2823184,5718460
10102,688228,685575,1373803
10103,252334,315770,568104
10104,718470,1082302,1800772
10105,1194102,1202509,2396611
10106,1502375,1673235,3175610
10107,1399776,1361232,2761008
10108,1931310,1440010,3371320
10109,510930,511641,1022571
10110,4802382,4804528,9606910
10111,345168,347200,692368
10112,1522430,1475847,2998277
10113,828192,807864,1636056
10114,3569720,3541632,7111352
10115,2277550,2204418,4481968
10116,1782331,802274,2584605
10117,712586,865792,1578378
10118,939311,845858,1785169
10119,560108,552450,1112558
10120,1780845,1768677,3549522
10121,1547100,1584583,3131683
10122,4613560,4969402,9582962
10123,846336,857610,1703946
10124,3256892,2820742,6077634
10125,1357020,1248060,2605080
10126,1304122,1301825,2605947
10127,1950080,1726516,3676596
10128,2741650,2700815,5442465
10129,406096,405160,811256
10130,3491127,3501900,6993027
10131,3051670,2945243,5996913
10132,417960,417475,835435
10133,1958580,1923999,3882579
10134,2858400,2157200,5015600
10135,3100600,2391255,5491855
10136,1242264,1287650,2529914
10137,2205808,2193093,4398901
10138,877264,865674,1742938
10139,1786928,1552902,3339830
10140,1706334,1457325,3163659
10141,1857345,1753210,3610555
10142,1606350,1798896,3405246
10143,2054499,1547280,3601779
10144,4896584,4704840,9601424
10145,3324958,3204036,6528994
10146,2021930,1669600,3691530
10147,3666696,1429776,5096472
10148,2619267,2488752,5108019
10149,2040221,2447143,4487364
10150,4370028,3915680,8285708
10151,432680,538244,970924
10152,3017670,3012000,6029670
10153,2343662,2346218,4689880
10154,2922347,2589192,5511539
10155,2460920,2058797,4519717
10156,2963481,2495523,5459004
10157,3888380,2635362,6523742
10158,2015560,2254300,4269860
10159,1035524,1017225,2052749
10160,1638796,1634817,3273613
10161,2512285,1523458,4035743
10162,2217402,2168388,4385790
10163,1074172,1082214,2156386
10164,5470024,5137703,10607727
10165,2022510,2002320,4024830
10166,1476352,2212160,3688512
10167,2112237,1551833,3664070
10168,1020243,1413854,2434097
10169,3462192,3282687,6744879
10170,1577616,1614087,3191703
10171,5685225,5173560,10858785
10172,3071232,2935328,6006560
10173,4250430,3869475,8119905
10174,1804880,1810117,3614997
10175,3322728,2135896,5458624
10176,1848742,5359274,7208016
10177,3750525,3551536,7302061
10178,4646312,4635360,9281672
10179,1657553,1993134,3650687
10180,3732190,2030454,5762644
10181,3853424,3734982,7588406
10182,2674647,6440460,9115107
10183,1725230,2345483,4070713
10184,2669177,2652534,5321711
10185,2845509,3483180,6328689
10186,7321344,5024506,12345850
10187,4998928,4396293,9395221
10188,5291488,4987200,10278688
10189,1055288,1208930,2264218
10190,2145789,2132100,4277889
10191,4437912,4416885,8854797
10192,4375560,4259955,8635515
10193,3410762,3530737,6941499
10194,1224720,1226236,2450956
10195,1982692,3350985,5333677
10196,3787536,3717981,7505517
10197,879075,879606,1758681
10198,2806616,2862188,5668804
10199,2626415,3803184,6429599
10200,3506580,3413736,6920316
